start_s,end_s,label
0.0125,1.0025,voiced
1.0125,1.0225,unvoiced
1.0325,1.3425,voiced
1.3525,1.4025,unvoiced
1.4125,1.4224999999999999,voiced
1.4324999999999999,1.5725,unvoiced
1.5825,2.0325,voiced
2.0425000000000004,2.1125000000000003,unvoiced
2.1225,2.1525000000000003,voiced
2.1625,2.1825,unvoiced
2.1925000000000003,2.2125000000000004,voiced
2.2225,2.2625,unvoiced
2.2725000000000004,2.9625000000000004,voiced
2.9725,3.0625000000000004,unvoiced
3.0725000000000002,3.2525000000000004,voiced
3.2625,3.2825,unvoiced
3.2925000000000004,3.6425,voiced
3.6525000000000003,3.7825,unvoiced
3.7925000000000004,4.282500000000001,voiced
4.2925,4.3425,unvoiced
4.3525,4.4325,voiced
4.4425,4.4825,unvoiced
4.492500000000001,4.532500000000001,voiced
4.5425,4.5525,unvoiced
4.5625,4.6725,voiced
4.6825,4.702500000000001,unvoiced
4.7125,4.8525,voiced
4.862500000000001,4.8825,unvoiced
4.8925,4.952500000000001,voiced
4.9625,5.0425,unvoiced
5.0525,5.072500000000001,voiced
5.0825000000000005,5.1025,unvoiced
5.112500000000001,6.152500000000001,voiced
6.1625000000000005,6.1825,unvoiced
6.1925,6.242500000000001,voiced
6.2525,6.322500000000001,unvoiced
6.3325000000000005,6.3925,voiced
6.402500000000001,6.492500000000001,unvoiced
6.5025,6.5425,voiced
6.5525,6.572500000000001,unvoiced
6.5825000000000005,6.6725,voiced
6.6825,6.7325,unvoiced
6.742500000000001,6.782500000000001,voiced
6.7925,6.8125,unvoiced
6.822500000000001,6.952500000000001,voiced
6.9625,7.0825000000000005,unvoiced
7.0925,7.2125,voiced
7.2225,7.242500000000001,unvoiced
7.2525,7.782500000000001,voiced
7.7925,7.8825,unvoiced
7.8925,8.0525,voiced
8.0625,8.0925,unvoiced
8.1025,8.532499999999999,voiced
8.542499999999999,8.5525,unvoiced
8.5625,9.532499999999999,voiced
9.542499999999999,9.7325,unvoiced
9.7425,9.952499999999999,voiced
9.9625,10.1025,unvoiced
10.112499999999999,10.4225,voiced
