start_s,end_s,label
0.0125,0.4525,voiced
0.4625,0.48250000000000004,unvoiced
0.4925,0.8724999999999999,voiced
0.8825,0.9724999999999999,unvoiced
0.9824999999999999,1.1225,voiced
1.1325,1.1724999999999999,unvoiced
1.1824999999999999,1.1824999999999999,voiced
1.1925,1.1925,unvoiced
1.2025,1.6925,voiced
1.7025,1.7825,unvoiced
1.7925,1.8525,voiced
1.8625,1.9625,unvoiced
1.9725,2.1625,voiced
2.1725000000000003,2.2325000000000004,unvoiced
2.2425,4.1825,voiced
4.1925,4.2125,unvoiced
4.2225,4.3325000000000005,voiced
4.3425,4.3525,unvoiced
4.362500000000001,4.8925,voiced
